date,rmse,mae,bias
2012-08-31,2.2831523,1.5508158,-0.5075773
2012-09-01,2.3982406,1.655643,-0.6955397
2012-09-02,2.2994633,1.5533946,-0.6764877
2012-09-03,2.355549,1.5926521,-0.535146
2012-09-04,2.4037242,1.6152788,-0.73788446
2012-09-05,2.5421484,1.7258177,-0.9105206
2012-09-06,2.6258757,1.804151,-0.94123685
2012-09-07,2.5809298,1.7838243,-0.7013193
2012-09-08,2.7804773,1.9153473,-0.65021044
2012-09-09,2.5179565,1.7392375,-0.7719299
2012-09-10,2.1023214,1.5444608,-0.5024251
2012-09-11,1.9353567,1.4668914,-0.20789728
2012-09-12,2.0351472,1.4459355,-0.28513372
2012-09-13,2.1890306,1.5126851,-0.04306595
2012-09-14,2.5010338,1.704252,-0.30190876
2012-09-15,2.269945,1.5629978,-0.29743317
2012-09-16,2.3046525,1.5668057,-0.1451752
2012-09-17,2.4881456,1.694115,-0.43849498
2012-09-18,2.735473,1.9065225,-0.937593
2012-09-19,2.7029283,1.9425505,-0.44424546
2012-09-20,2.865306,2.2760441,0.55805993
2012-09-21,2.6469347,1.8810455,-0.028204698
2012-09-22,2.665789,1.8906548,0.2685706
2012-09-23,2.9449463,2.2146864,1.100859
2012-09-24,2.7616236,1.943784,0.84591544
2012-09-25,2.2404516,1.5687435,-0.20233445
2012-09-26,2.041709,1.4050046,0.26546657
2012-09-27,2.2946978,1.5820522,0.44790703
2012-09-28,2.2964475,1.5974425,-0.1754316
2012-09-29,2.2409115,1.5642078,0.25626191
2012-09-30,2.0353498,1.404955,-0.16873989
2012-10-01,2.180402,1.5312614,0.24204142
2012-10-02,1.9718149,1.4171206,-0.45504144
2012-10-03,1.9457865,1.4482018,-0.20836607
2012-10-05,2.2457855,1.5958393,-0.39760238
2012-10-06,2.4143362,1.6940764,-0.6157901
2012-10-07,2.5058265,1.8204123,-0.39666674
2012-10-08,2.740401,2.0155082,-0.39323545
2012-10-09,2.347939,1.63698,-0.18070596
2012-10-10,2.1691937,1.4834983,-0.1482816
2012-10-11,2.205472,1.5727093,0.33136266
2012-10-12,2.0282695,1.4442437,0.34918353
