time,sand_heads_actual,sand_heads_predicted,halibut_bank_actual,halibut_bank_predicted,sentry_shoal_actual,sentry_shoal_predicted
2012-08-05 12:00:00,292.22983,286.19766,292.35834,285.84613,292.4707,282.9956
2012-08-05 15:00:00,291.98752,285.2919,292.1893,285.0853,292.84073,284.58768
2012-08-05 18:00:00,292.3118,285.2748,292.65512,285.34842,293.7657,285.1152
2012-08-05 21:00:00,292.28458,285.13406,293.0652,285.43567,293.7415,285.16537
2012-08-06 00:00:00,292.04123,285.08734,293.66086,285.4404,295.8643,285.1629
2012-08-06 03:00:00,291.9906,285.2577,294.10513,285.5962,295.42758,284.77112
2012-08-06 06:00:00,291.98026,286.04227,294.04163,285.61847,293.84976,284.421
2012-08-06 09:00:00,292.20642,285.93692,292.71075,285.68112,292.9715,283.64975
2012-08-06 12:00:00,291.33987,285.54108,292.07004,285.67957,292.23932,283.241
2012-08-06 15:00:00,291.65356,285.25058,292.57312,285.2681,292.0414,284.71332
2012-08-06 18:00:00,291.3608,285.40494,292.29684,285.48645,292.2787,285.13788
2012-08-06 21:00:00,291.81488,285.66492,292.46124,285.61304,292.95126,285.1171
2012-08-07 00:00:00,292.7815,285.81104,292.84195,285.5468,292.9397,285.05093
2012-08-07 03:00:00,292.67984,286.04205,292.671,285.3201,292.92557,284.7534
2012-08-07 06:00:00,292.20865,285.56168,292.7463,285.5344,292.57373,284.40878
2012-08-07 09:00:00,291.62183,285.5013,292.77066,285.55063,292.10526,283.43085
2012-08-07 12:00:00,290.9996,285.4046,292.43283,285.4177,291.79868,282.98172
2012-08-07 15:00:00,290.7345,284.9127,291.83502,285.5062,291.61163,283.67792
2012-08-07 18:00:00,291.33786,284.90054,292.5798,285.3478,291.63437,284.6545
2012-08-07 21:00:00,292.15298,284.9771,292.92856,285.23538,292.17462,284.88266
2012-08-08 00:00:00,292.77017,285.02246,292.99387,285.27835,292.26218,284.80612
2012-08-08 03:00:00,293.2558,285.6216,293.27994,285.68317,292.24332,284.49033
2012-08-08 06:00:00,292.85837,286.1478,293.59268,285.3206,293.56705,282.9924
2012-08-08 09:00:00,292.65887,285.99493,292.89474,285.68207,292.2946,282.6977
2012-08-08 12:00:00,292.0199,285.99966,292.12146,285.76367,291.70837,282.49542
2012-08-08 15:00:00,291.81433,285.26392,291.7629,284.97665,291.13513,282.87274
